 ,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
41,50.5,81.0,22,80,0.008417000000000001,0.017,10,14,11.625,24.0,22,34.0,2.5333330000000003,4.5,1,51.0
42,50.5,81.0,22,80,0.008417000000000001,0.017,10,14,11.6,20.3,23,6.410917816436712,2.604167,6.9,22,11.680663867226555
43,50.5,81.0,22,80,0.008417000000000001,0.017,10,14,11.6,20.3,23,6.410917816436712,2.5333330000000003,4.5,1,51.0
44,49.125,81.0,21,80,0.008208,0.013999999999999999,9,12,10.916667,26.0,21,37.0,2.295833,6.3,21,11.680663867226555
45,49.125,81.0,21,80,0.008208,0.013999999999999999,9,12,10.916667,26.0,21,37.0,2.316667,4.2,0,48.0
46,49.125,81.0,21,80,0.008208,0.013999999999999999,9,12,10.875,22.6,23,6.410917816436712,2.295833,6.3,21,11.680663867226555
47,49.125,81.0,21,80,0.008208,0.013999999999999999,9,12,10.875,22.6,23,6.410917816436712,2.316667,4.2,0,48.0
48,73.285714,117.0,22,104,0.006167,0.01,9,8,10.952380999999999,21.0,22,30.0,3.136364,7.0,23,11.680663867226555
49,73.285714,117.0,22,104,0.006167,0.01,9,8,10.952380999999999,21.0,22,30.0,2.958333,4.6,23,52.0
50,73.285714,117.0,22,104,0.006167,0.01,9,8,11.766667,20.6,23,6.410917816436712,3.136364,7.0,23,11.680663867226555
51,73.285714,117.0,22,104,0.006167,0.01,9,8,11.766667,20.6,23,6.410917816436712,2.958333,4.6,23,52.0
52,66.541667,124.0,10,105,0.008708,0.018000000000000002,8,15,11.625,29.0,8,41.0,3.0125,8.1,8,11.680663867226555
53,66.541667,124.0,10,105,0.008708,0.018000000000000002,8,15,11.625,29.0,8,41.0,3.575,5.3,1,59.0
54,66.541667,124.0,10,105,0.008708,0.018000000000000002,8,15,11.5875,25.6,8,6.410917816436712,3.0125,8.1,8,11.680663867226555
55,66.541667,124.0,10,105,0.008708,0.018000000000000002,8,15,11.5875,25.6,8,6.410917816436712,3.575,5.3,1,59.0
56,53.166667000000004,87.0,22,86,0.010625,0.022000000000000002,9,19,9.583333,22.0,20,31.0,2.754167,7.2,20,11.680663867226555
57,53.166667000000004,87.0,22,86,0.010625,0.022000000000000002,9,19,9.583333,22.0,20,31.0,2.175,4.5,23,51.0
58,53.166667000000004,87.0,22,86,0.010625,0.022000000000000002,9,19,9.55,18.3,23,6.410917816436712,2.754167,7.2,20,11.680663867226555
59,53.166667000000004,87.0,22,86,0.010625,0.022000000000000002,9,19,9.55,18.3,23,6.410917816436712,2.175,4.5,23,51.0
60,45.75,73.0,19,71,0.01075,0.023,9,19,6.4583330000000005,13.0,19,19.0,1.5625,3.7,19,11.680663867226555
61,45.75,73.0,19,71,0.01075,0.023,9,19,6.4583330000000005,13.0,19,19.0,1.9625,4.8,0,54.0
62,45.75,73.0,19,71,0.01075,0.023,9,19,6.4375,11.6,23,6.410917816436712,1.5625,3.7,19,11.680663867226555
63,45.75,73.0,19,71,0.01075,0.023,9,19,6.4375,11.6,23,6.410917816436712,1.9625,4.8,0,54.0
64,59.25,101.0,23,101,0.008375,0.015,8,13,8.5,19.0,23,27.0,2.233333,5.7,21,11.680663867226555
65,59.25,101.0,23,101,0.008375,0.015,8,13,8.5,19.0,23,27.0,1.9875,3.9,23,44.0
66,59.25,101.0,23,101,0.008375,0.015,8,13,8.45,17.6,23,6.410917816436712,2.233333,5.7,21,11.680663867226555
67,59.25,101.0,23,101,0.008375,0.015,8,13,8.45,17.6,23,6.410917816436712,1.9875,3.9,23,44.0
68,66.791667,101.0,22,101,0.006333,0.01,11,8,12.166667,23.0,22,33.0,2.9916669999999996,6.9,22,11.680663867226555
69,66.791667,101.0,22,101,0.006333,0.01,11,8,12.166667,23.0,22,33.0,2.891667,4.9,2,55.0
70,66.791667,101.0,22,101,0.006333,0.01,11,8,12.125,21.3,23,6.410917816436712,2.9916669999999996,6.9,22,11.680663867226555
71,66.791667,101.0,22,101,0.006333,0.01,11,8,12.125,21.3,23,6.410917816436712,2.891667,4.9,2,55.0
72,59.041667000000004,87.0,20,86,0.006958,0.013000000000000001,9,11,10.166667,22.0,20,31.0,2.5333330000000003,5.9,22,11.680663867226555
